2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-08-02/14:08:02		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-08-02/14:08:03		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-08-02/14:08:03		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-08-02/14:08:04		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-08-02/14:08:04		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-08-02/14:08:04		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-08-02/14:08:05		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-08-02/14:08:06		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-08-02/14:08:06		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-08-02/14:08:46		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-08-02/14:08:47		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-08-02/14:08:47		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-08-02/14:08:48		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-08-02/14:08:49		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-08-02/14:08:49		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-08-02/14:08:50		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-08-02/14:08:50		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-08-02/14:08:51		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-08-02/14:39:00		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-08-02/14:39:00		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-08-02/14:39:01		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-08-02/14:39:01		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-08-02/14:39:02		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-08-02/14:39:02		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-08-02/14:39:03		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-08-02/14:39:03		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-08-02/14:39:04		 wafer_29012020_050617.csv: File Transformed successfully!!
